,int_rate,dti,fico_avg,annual_inc,loan_amnt,term,revol_util,inq_last_6mths,delinq_2yrs,open_acc,payment_to_income,log_loan_amnt,log_revol_bal,credit_history_age_days,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,home_ownership_OWN,home_ownership_RENT,verification_status_Source Verified,verification_status_Verified,application_type_Joint App
7266,13.44,23.84,662.0,91500.0,20000.0,36,57.8,0.0,0.0,16.0,0.007411175834143889,9.903537551286169,9.951658477397421,4200,0,1,0,0,0,0,0,0,0,1,0
3906,10.78,12.97,667.0,85000.0,16000.0,36,94.0,1.0,1.0,6.0,0.006142986553099375,9.680406499268875,9.824065485558638,10165,1,0,0,0,0,0,0,1,1,0,0
4768,15.77,13.87,672.0,70600.0,15000.0,36,34.7,2.0,0.0,8.0,0.007445503604764804,9.61587214452889,8.352318548226004,3501,0,0,1,0,0,0,0,1,1,0,0
9498,10.64,26.85,692.0,40000.0,7000.0,36,55.4,2.0,0.0,12.0,0.005699357516062098,8.853808274977197,9.201904893155081,2129,1,0,0,0,0,0,0,1,0,1,0
7222,17.86,15.64,692.0,34000.0,5000.0,36,42.4,1.0,0.0,9.0,0.005306314520161171,8.517393171418904,8.446985296372741,3317,0,0,1,0,0,0,0,0,1,0,0
9460,12.59,15.47,667.0,66000.0,11000.0,36,59.3,1.0,1.0,10.0,0.005582794200087878,9.305741456739435,8.773539383558164,4566,0,1,0,0,0,0,0,1,1,0,0
8234,16.55,39.7,667.0,36816.0,15000.0,60,58.0,1.0,0.0,8.0,0.010027161365673467,9.61587214452889,8.582980931954241,4992,0,0,1,0,0,0,0,1,0,1,0
3962,5.32,14.56,727.0,195000.0,25000.0,36,71.9,0.0,1.0,9.0,0.0038608519956307916,10.12667110305036,10.234408696023769,11232,0,0,0,0,0,0,0,0,0,0,0
9447,16.55,34.08,692.0,66500.0,16800.0,60,59.5,1.0,0.0,12.0,0.006217500488714456,9.729193687429403,10.29525933351229,4170,0,0,1,0,0,0,0,1,0,1,0
8048,16.99,19.13,672.0,67000.0,7700.0,36,49.9,2.0,0.0,10.0,0.004096804525305592,8.94910546953925,7.916807490937603,3501,0,0,1,0,0,0,1,0,0,1,0
421,8.49,27.58,717.0,168400.0,10500.0,36,61.5,0.0,0.0,18.0,0.0019680405698303456,9.259225769705994,10.681366430255741,5874,1,0,0,0,0,0,0,0,0,1,0
6016,8.49,10.64,682.0,75000.0,3000.0,36,46.0,1.0,0.0,10.0,0.001262516499780003,8.006700845440367,10.25885163767476,8400,1,0,0,0,0,0,0,0,0,0,0
4642,23.13,24.5,667.0,140000.0,30000.0,60,51.0,0.0,0.0,13.0,0.006056813879900858,10.308985993422082,9.000483164987706,5631,0,0,0,0,1,0,0,0,1,0,0
4008,12.88,14.26,687.0,85000.0,18000.0,36,78.0,0.0,0.0,11.0,0.00712297502382325,9.798182590890704,9.832743148010369,3805,0,1,0,0,0,0,0,1,0,1,0
2041,11.48,24.8,692.0,53000.0,10000.0,36,66.9,3.0,0.0,8.0,0.006220071319409068,9.210440366976515,9.078749951588586,5569,1,0,0,0,0,0,0,1,0,1,0
5723,10.78,17.2,787.0,102000.0,35000.0,60,26.2,0.0,0.0,18.0,0.007423064479760002,10.463131911491967,9.89500164888583,7214,1,0,0,0,0,0,0,1,1,0,0
8534,5.32,13.12,687.0,68000.0,8500.0,36,53.2,0.0,0.0,8.0,0.0037643564065234334,9.047939082617358,8.915700818956903,7761,0,0,0,0,0,0,0,0,1,0,0
5161,12.88,24.01,697.0,104000.0,30000.0,60,61.6,0.0,1.0,18.0,0.006545706291285661,10.308985993422082,10.51753741173737,7366,0,1,0,0,0,0,0,0,1,0,0
1144,11.48,9.37,667.0,125000.0,8000.0,36,57.7,2.0,0.0,17.0,0.002109903120775034,8.987321812850123,10.181573731314462,9526,1,0,0,0,0,0,0,0,0,0,0
9566,12.59,15.44,667.0,75000.0,7500.0,36,98.6,0.0,0.0,7.0,0.003349688670817722,8.922791623969635,8.651898894268529,2678,0,1,0,0,0,0,0,1,1,0,0
2858,9.8,18.03,687.0,85000.0,12000.0,60,50.3,0.0,2.0,17.0,0.002985729579652004,9.392745258631441,10.49772558476686,6727,1,0,0,0,0,0,0,0,0,0,0
6166,15.77,30.65,702.0,37000.0,12000.0,36,45.3,0.0,0.0,10.0,0.011365368503553958,9.392745258631441,9.805874723669127,9131,0,0,1,0,0,0,0,0,1,0,0
2635,10.78,21.96,717.0,60000.0,25000.0,60,17.8,0.0,0.0,13.0,0.00901368310528158,10.12667110305036,8.70084719344397,3713,1,0,0,0,0,0,1,0,0,0,0
3567,11.48,17.82,672.0,120000.0,20000.0,36,61.5,2.0,2.0,16.0,0.005494370880242665,9.903537551286169,10.010950855785657,2435,1,0,0,0,0,0,0,0,1,0,0
5873,21.48,5.32,777.0,60000.0,30000.0,60,38.3,0.0,0.0,7.0,0.013661938967683872,10.308985993422082,9.00220857828241,5113,0,0,0,1,0,0,0,0,1,0,0
7615,9.17,2.64,662.0,45000.0,5500.0,36,59.3,0.0,0.0,6.0,0.0038963578587142508,8.612685172875457,8.034306936339489,4627,1,0,0,0,0,0,0,0,0,0,0
6554,14.85,18.46,702.0,116000.0,5000.0,36,44.9,0.0,1.0,13.0,0.001491021629123887,8.517393171418904,9.306195857619704,6543,0,1,0,0,0,0,1,0,1,0,0
1134,9.8,21.39,732.0,45000.0,18000.0,36,8.8,3.0,0.0,14.0,0.012869269571787294,9.798182590890704,8.448485993406447,5023,1,0,0,0,0,0,0,0,0,0,0
7828,11.22,20.25,672.0,40000.0,7500.0,36,64.6,0.0,0.0,18.0,0.00615809604759881,8.922791623969635,8.77307495131822,4261,1,0,0,0,0,0,0,1,1,0,0
2848,11.99,13.93,717.0,46000.0,12000.0,36,25.9,0.0,0.0,8.0,0.008663289928479815,9.392745258631441,9.01602720232985,1248,0,1,0,0,0,0,0,1,1,0,0
7238,8.49,10.84,677.0,54000.0,15000.0,36,58.0,0.0,1.0,14.0,0.008767430232773467,9.61587214452889,9.964582651895938,14032,1,0,0,0,0,0,0,0,0,1,0
4504,18.99,17.11,677.0,20000.0,2425.0,36,17.2,0.0,0.0,9.0,0.004443777811109445,7.793999089503995,7.905441649060286,6969,0,0,0,1,0,0,0,1,0,1,0
4681,12.88,34.02,712.0,26248.0,4650.0,36,42.8,0.0,0.0,18.0,0.0059587031886929025,8.444837529224097,10.161573447047902,7305,0,1,0,0,0,0,0,0,1,0,0
3212,8.49,19.63,697.0,67000.0,14600.0,36,31.5,0.0,0.0,10.0,0.006877807793913524,9.588845298501564,9.616205400105674,4536,1,0,0,0,0,0,0,0,0,0,0
8092,21.99,26.28,672.0,45220.0,2500.0,36,81.5,2.0,0.0,14.0,0.0021111872802459034,7.824445930877618,10.45975488349865,3562,0,0,0,0,1,0,0,1,0,1,0
606,18.49,13.57,672.0,45000.0,14850.0,60,45.7,3.0,0.0,13.0,0.008468034043687917,9.605822482030945,9.685455913108093,6058,0,0,1,0,0,0,0,0,0,1,0
5850,6.49,23.83,687.0,117000.0,12000.0,36,26.0,0.0,0.0,18.0,0.003143050059401202,9.392745258631441,9.395491255780296,5874,0,0,0,0,0,0,0,0,1,0,0
2641,9.17,11.71,697.0,37000.0,5900.0,36,21.6,0.0,5.0,8.0,0.005083376124969595,8.682877107057168,8.683046555502884,7061,1,0,0,0,0,0,1,0,0,0,0
5162,19.89,11.83,662.0,240000.0,20000.0,60,70.3,2.0,1.0,23.0,0.002202740821913242,9.903537551286169,9.943429159629076,6423,0,0,0,1,0,0,0,0,1,0,0
420,5.32,16.95,802.0,81000.0,15000.0,36,9.4,0.0,0.0,14.0,0.0055768447303119716,9.61587214452889,10.520536319789551,11018,0,0,0,0,0,0,1,0,0,0,0
3626,7.49,12.92,762.0,62000.0,12000.0,36,21.8,0.0,0.0,22.0,0.006019580329349527,9.392745258631441,9.269175157697076,8065,0,0,0,0,0,0,0,1,0,0,0
3522,5.32,4.62,702.0,100000.0,7500.0,36,51.2,0.0,0.0,9.0,0.0022586774132258678,8.922791623969635,9.083415678402515,15615,0,0,0,0,0,0,0,0,1,0,0
2761,6.99,14.61,692.0,45000.0,8500.0,36,50.1,0.0,0.0,7.0,0.005831425968311816,9.047939082617358,9.139703292376742,11810,0,0,0,0,0,0,0,1,1,0,0
7170,10.64,36.25,662.0,60000.0,7500.0,36,68.2,1.0,0.0,14.0,0.00407109881501975,8.922791623969635,11.636505001740419,4444,1,0,0,0,0,0,0,0,0,1,0
7930,18.99,30.54,747.0,59500.0,23800.0,60,37.2,0.0,0.0,8.0,0.010373943295070671,10.077482875583607,9.072915696064511,7731,0,0,0,1,0,0,0,1,1,0,0
9554,13.67,36.05,667.0,80000.0,30000.0,60,68.8,0.0,0.0,13.0,0.00866151673104086,10.308985993422082,10.252064798437244,4870,0,1,0,0,0,0,1,0,1,0,0
